name,platform,year_of_release,genre,publisher,developer,na_sales,eu_sales,jp_sales,critic_score,user_score
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,Rockstar North,4.76,3.69,0.44,98.0,7.5
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,,4.34,2.65,3.15,,
Super Mario 64,DS,2004.0,Platform,Nintendo,,5.01,3.07,1.25,,
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,Infinity Ward,6.73,2.56,0.04,73.0,2.6
Just Dance 3,Wii,2011.0,Misc,Ubisoft,Ubisoft,5.95,3.11,0.0,74.0,7.8
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,Nintendo,3.66,3.14,2.47,78.0,7.2
Mario Kart 64,N64,1996.0,Racing,Nintendo,,5.55,1.94,2.23,,
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,Bungie,7.04,1.95,0.08,91.0,7.9
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,SquareSoft,3.01,2.47,3.28,92.0,9.2
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,343 Industries,6.65,2.28,0.04,87.0,7
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,Polyphony Digital,3.88,3.42,1.69,93.0,9
Just Dance 2,Wii,2010.0,Misc,Ubisoft,Ubisoft,5.8,2.85,0.01,74.0,7.3
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,Infinity Ward,4.1,3.63,0.38,71.0,2.6
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,Infinity Ward,5.93,2.36,0.13,94.0,8.4
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,,4.36,1.71,3.0,,
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,,5.7,2.65,0.02,,
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,Nintendo,2.03,2.36,4.39,88.0,8.7
Mario Party DS,DS,2007.0,Misc,Nintendo,Hudson Soft,4.4,1.85,1.98,72.0,7.8
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.05,2.79,0.1,96.0,8.4
Super Mario Kart,SNES,1992.0,Racing,Nintendo,,3.54,1.24,3.81,,
FIFA 16,PS4,2015.0,Sports,Electronic Arts,EA Sports,1.12,6.12,0.06,82.0,4.3
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,Bungie Software,6.82,1.53,0.05,95.0,8.2
Wii Party,Wii,2010.0,Misc,Nintendo,Nd Cube,1.75,3.47,2.49,68.0,7.4
Mario Party 8,Wii,2007.0,Misc,Nintendo,Hudson,3.74,2.24,1.58,62.0,6.3
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,Electronic Arts,1.06,5.01,0.13,88.0,6.6
GoldenEye 007,N64,1997.0,Shooter,Nintendo,,5.8,2.01,0.13,,
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,,2.79,1.72,3.14,,
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,SquareSoft,2.91,2.07,2.73,92.0,8.7
The Sims 3,PC,2009.0,Simulation,Electronic Arts,The Sims Studio,0.99,6.42,0.0,86.0,7.6
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,,2.57,3.86,0.66,,
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,,2.99,3.49,0.22,,
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,SquareSoft,2.28,1.72,3.63,90.0,8.6
Pac-Man,2600,1982.0,Puzzle,Atari,,7.28,0.45,0.0,,
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,Game Freak,2.76,1.72,2.69,83.0,8.5
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,Rockstar Leeds,2.9,2.81,0.24,88.0,7.6
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,Sledgehammer Games,2.81,3.48,0.14,83.0,5.7
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,,4.1,1.89,1.45,,
"FIFA 17,PS4,2016.0,Sports,Electronic Arts,""EA Sports, EA Vancouver"",0.66,5.75,0.08,85.0,5"
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,,3.78,2.17,1.31,,
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,,3.27,1.37,2.43,,
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,Nintendo EAD Tokyo,3.56,2.35,0.98,97.0,9.1
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,,5.39,1.18,0.7,,
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,,4.59,2.11,0.01,,
